trial,type,wf,response,RT,correct,subj,length,delay,block
28,lure,HF,0,0.723999977,1,1,Long,Delay,b1
29,target,LF,1,0.772000015,1,1,Long,Delay,b1
30,target,HF,1,1.011000037,1,1,Long,Delay,b1
31,target,HF,1,0.93900001,1,1,Long,Delay,b1
32,lure,LF,0,0.707000017,1,1,Long,Delay,b1
33,lure,HF,0,1.299999952,1,1,Long,Delay,b1
34,target,HF,1,0.643000007,1,1,Long,Delay,b1
35,lure,LF,0,0.63499999,1,1,Long,Delay,b1
36,target,LF,1,0.707000017,1,1,Long,Delay,b1
37,lure,LF,0,0.866999984,1,1,Long,Delay,b1
38,target,LF,1,0.714999974,1,1,Long,Delay,b1
39,target,HF,1,0.717000008,1,1,Long,Delay,b1
40,lure,LF,0,0.778999984,1,1,Long,Delay,b1
41,target,LF,1,0.635999978,1,1,Long,Delay,b1
42,target,HF,1,0.716000021,1,1,Long,Delay,b1
43,lure,HF,0,0.781000018,1,1,Long,Delay,b1
44,lure,LF,0,0.74000001,1,1,Long,Delay,b1
45,target,HF,1,0.763000011,1,1,Long,Delay,b1
46,target,HF,0,0.658999979,0,1,Long,Delay,b1
47,target,LF,1,0.925000012,1,1,Long,Delay,b1
48,target,HF,1,0.605000019,1,1,Long,Delay,b2
49,target,HF,1,1.029000044,1,1,Long,Delay,b2
50,lure,LF,0,0.852999985,1,1,Long,Delay,b2
51,lure,HF,0,0.781000018,1,1,Long,Delay,b2
52,target,HF,0,1.034999967,0,1,Long,Delay,b2
53,lure,LF,0,0.779999971,1,1,Long,Delay,b2
54,target,HF,1,0.716000021,1,1,Long,Delay,b2
55,lure,LF,0,0.781000018,1,1,Long,Delay,b2
56,lure,HF,0,1.187999964,1,1,Long,Delay,b2
57,lure,HF,0,0.963999987,1,1,Long,Delay,b2
58,target,LF,1,0.691999972,1,1,Long,Delay,b2
59,lure,HF,0,0.690999985,1,1,Long,Delay,b2
60,lure,HF,0,0.707000017,1,1,Long,Delay,b2
61,target,HF,1,1.291000009,1,1,Long,Delay,b2
62,lure,HF,0,0.739000022,1,1,Long,Delay,b2
63,target,LF,1,0.739000022,1,1,Long,Delay,b2
64,lure,LF,0,0.707000017,1,1,Long,Delay,b2
65,target,HF,1,0.661000013,1,1,Long,Delay,b2
66,lure,LF,0,0.837000012,1,1,Long,Delay,b2
67,target,HF,1,0.805000007,1,1,Long,Delay,b2
68,lure,HF,0,0.869000018,1,1,Long,Delay,b2
69,lure,LF,0,0.765999973,1,1,Long,Delay,b2
70,lure,LF,0,0.716000021,1,1,Long,Delay,b2
71,target,LF,1,0.723999977,1,1,Long,Delay,b2
72,target,LF,1,0.723999977,1,1,Long,Delay,b3
73,lure,LF,0,0.828000009,1,1,Long,Delay,b3
74,lure,HF,0,0.764999986,1,1,Long,Delay,b3
75,target,LF,1,0.717000008,1,1,Long,Delay,b3
76,target,HF,1,0.998000026,1,1,Long,Delay,b3
77,lure,HF,0,0.73299998,1,1,Long,Delay,b3
78,target,LF,1,0.676999986,1,1,Long,Delay,b3
79,lure,LF,0,0.754999995,1,1,Long,Delay,b3
80,target,LF,1,0.978999972,1,1,Long,Delay,b3
81,lure,HF,0,0.843999982,1,1,Long,Delay,b3
82,lure,LF,0,0.778999984,1,1,Long,Delay,b3
83,lure,HF,0,2.323999882,1,1,Long,Delay,b3
84,target,HF,1,0.699999988,1,1,Long,Delay,b3
85,target,HF,1,1.052999973,1,1,Long,Delay,b3
86,target,LF,1,0.73299998,1,1,Long,Delay,b3
87,target,LF,1,0.707000017,1,1,Long,Delay,b3
88,target,LF,1,0.666999996,1,1,Long,Delay,b3
89,target,HF,1,0.602999985,1,1,Long,Delay,b3
90,lure,HF,0,0.787,1,1,Long,Delay,b3
91,target,LF,1,0.611000001,1,1,Long,Delay,b3
92,target,LF,1,0.819000006,1,1,Long,Delay,b3
93,lure,HF,0,2.187000036,1,1,Long,Delay,b3
94,target,LF,1,0.626999974,1,1,Long,Delay,b3
95,target,HF,1,0.883000016,1,1,Long,Delay,b3
0,target,HF,1,1.266000032,1,1,Long,Immed,b0
1,lure,HF,0,0.859000027,1,1,Long,Immed,b0
2,lure,LF,0,0.675000012,1,1,Long,Immed,b0
3,target,HF,1,0.602999985,1,1,Long,Immed,b0
4,lure,LF,0,0.63499999,1,1,Long,Immed,b0
5,target,HF,1,0.963999987,1,1,Long,Immed,b0
6,lure,LF,0,0.63499999,1,1,Long,Immed,b0
7,lure,HF,0,0.699999988,1,1,Long,Immed,b0
8,lure,LF,0,0.65200001,1,1,Long,Immed,b0
9,target,LF,1,0.572000027,1,1,Long,Immed,b0
10,lure,LF,0,0.588999987,1,1,Long,Immed,b0
11,lure,LF,0,0.572000027,1,1,Long,Immed,b0
12,lure,HF,0,1.019999981,1,1,Long,Immed,b0
13,target,LF,1,0.675000012,1,1,Long,Immed,b0
14,lure,HF,0,0.731000006,1,1,Long,Immed,b0
15,target,HF,1,0.739000022,1,1,Long,Immed,b0
16,target,LF,1,0.690999985,1,1,Long,Immed,b0
17,target,LF,1,0.611000001,1,1,Long,Immed,b0
18,target,HF,1,0.595000029,1,1,Long,Immed,b0
19,lure,HF,0,0.74000001,1,1,Long,Immed,b0
20,target,LF,1,0.546999991,1,1,Long,Immed,b0
21,target,LF,1,0.572000027,1,1,Long,Immed,b0
22,lure,HF,0,1.092000008,1,1,Long,Immed,b0
23,lure,LF,0,0.684000015,1,1,Long,Immed,b0
24,lure,LF,0,0.772000015,1,1,Long,Immed,b1
25,target,LF,1,0.699999988,1,1,Long,Immed,b1
26,lure,LF,0,0.675999999,1,1,Long,Immed,b1
27,lure,HF,0,0.667999983,1,1,Long,Immed,b1
28,lure,HF,0,0.773000002,1,1,Long,Immed,b1
29,target,HF,1,0.898999989,1,1,Long,Immed,b1
30,target,HF,0,0.930999994,0,1,Long,Immed,b1
31,target,LF,1,0.986999989,1,1,Long,Immed,b1
32,target,LF,1,0.699000001,1,1,Long,Immed,b1
33,lure,LF,0,0.690999985,1,1,Long,Immed,b1
34,target,HF,1,0.72299999,1,1,Long,Immed,b1
35,target,LF,1,0.884000003,1,1,Long,Immed,b1
36,lure,LF,0,0.723999977,1,1,Long,Immed,b1
37,target,HF,1,1.179999948,1,1,Long,Immed,b1
38,target,HF,1,1.036000013,1,1,Long,Immed,b1
39,target,HF,1,1.452000022,1,1,Long,Immed,b1
40,lure,HF,0,0.80400002,1,1,Long,Immed,b1
41,target,LF,1,0.611999989,1,1,Long,Immed,b1
42,target,LF,1,1.050999999,1,1,Long,Immed,b1
43,target,LF,1,0.939999998,1,1,Long,Immed,b1
44,lure,LF,0,0.827000022,1,1,Long,Immed,b1
45,target,HF,1,0.57099998,1,1,Long,Immed,b1
46,lure,LF,0,0.658999979,1,1,Long,Immed,b1
47,lure,HF,1,0.63499999,0,1,Long,Immed,b1
48,target,LF,1,0.595000029,1,1,Long,Immed,b2
49,lure,HF,0,0.915000021,1,1,Long,Immed,b2
50,target,LF,1,0.771000028,1,1,Long,Immed,b2
51,target,HF,1,0.540000021,1,1,Long,Immed,b2
52,target,HF,1,0.628000021,1,1,Long,Immed,b2
53,target,HF,1,0.714999974,1,1,Long,Immed,b2
54,lure,LF,0,0.787,1,1,Long,Immed,b2
55,target,LF,1,0.59799999,1,1,Long,Immed,b2
56,lure,LF,0,0.949999988,1,1,Long,Immed,b2
57,target,LF,1,0.606000006,1,1,Long,Immed,b2
58,target,HF,1,0.828999996,1,1,Long,Immed,b2
59,lure,HF,0,0.661000013,1,1,Long,Immed,b2
60,lure,HF,0,0.731000006,1,1,Long,Immed,b2
61,target,HF,1,0.723999977,1,1,Long,Immed,b2
62,lure,LF,0,0.690999985,1,1,Long,Immed,b2
63,target,HF,1,0.666999996,1,1,Long,Immed,b2
64,target,HF,1,0.930999994,1,1,Long,Immed,b2
65,lure,HF,0,0.787,1,1,Long,Immed,b2
66,lure,LF,0,0.628000021,1,1,Long,Immed,b2
67,lure,LF,0,0.667999983,1,1,Long,Immed,b2
68,target,LF,1,0.643999994,1,1,Long,Immed,b2
69,target,HF,0,0.939999998,0,1,Long,Immed,b2
70,lure,HF,0,1.843999982,1,1,Long,Immed,b2
71,lure,LF,0,1.386999965,1,1,Long,Immed,b2
72,target,LF,1,0.611000001,1,1,Long,Immed,b3
73,target,LF,1,0.802999973,1,1,Long,Immed,b3
74,target,LF,1,0.595000029,1,1,Long,Immed,b3
75,lure,HF,0,0.842999995,1,1,Long,Immed,b3
76,target,LF,1,0.675000012,1,1,Long,Immed,b3
77,lure,LF,0,0.754999995,1,1,Long,Immed,b3
78,lure,LF,0,0.658999979,1,1,Long,Immed,b3
79,target,HF,1,0.787,1,1,Long,Immed,b3
80,lure,HF,0,0.675999999,1,1,Long,Immed,b3
81,lure,HF,0,0.755999982,1,1,Long,Immed,b3
82,target,HF,1,0.716000021,1,1,Long,Immed,b3
83,target,LF,1,0.635999978,1,1,Long,Immed,b3
84,lure,LF,0,0.643999994,1,1,Long,Immed,b3
85,lure,HF,0,1.092000008,1,1,Long,Immed,b3
86,target,LF,1,0.603999972,1,1,Long,Immed,b3
87,target,HF,1,0.714999974,1,1,Long,Immed,b3
88,lure,HF,0,0.802999973,1,1,Long,Immed,b3
89,lure,HF,0,1.699000001,1,1,Long,Immed,b3
90,lure,LF,0,0.683000028,1,1,Long,Immed,b3
91,lure,HF,0,0.754999995,1,1,Long,Immed,b3
92,target,HF,1,0.666999996,1,1,Long,Immed,b3
93,lure,HF,0,0.708000004,1,1,Long,Immed,b3
94,lure,LF,0,0.714999974,1,1,Long,Immed,b3
95,lure,HF,1,0.81099999,0,1,Long,Immed,b3
0,target,LF,1,1.521999955,1,1,Short,Immed,b0
1,target,LF,1,0.723999977,1,1,Short,Immed,b0
2,lure,HF,0,0.748000026,1,1,Short,Immed,b0
3,target,LF,1,0.611999989,1,1,Short,Immed,b0
4,lure,HF,0,0.716000021,1,1,Short,Immed,b0
5,lure,HF,0,0.778999984,1,1,Short,Immed,b0
6,lure,LF,0,0.739000022,1,1,Short,Immed,b0
7,target,HF,1,0.643000007,1,1,Short,Immed,b0
8,target,HF,0,0.699000001,0,1,Short,Immed,b0
9,target,LF,1,0.714999974,1,1,Short,Immed,b0
10,target,HF,1,0.620000005,1,1,Short,Immed,b0
11,target,HF,1,0.619000018,1,1,Short,Immed,b0
12,lure,LF,0,0.739000022,1,1,Short,Immed,b0
13,lure,HF,0,0.63499999,1,1,Short,Immed,b0
14,lure,LF,0,0.72299999,1,1,Short,Immed,b0
